,Unnamed: 0,Title,Summary,Published On,news,cleanNews
10,10,"US weekly jobless claims total 231,000, vs 220,000 expected","First-time claims for state unemployment benefits were expected to total 220,000 for the most recent week, down from the 216,000 claims reported for the previous week.",2019-01-03 13:30:00Z,"US weekly jobless claims total 231,000, vs 220,000 expected First-time for state unemployment benefits were to the most recent week, down from 216,000 reported previous week.",us weekly jobless claims total 231000 vs 220000 expected first-time state unemployment benefits recent week 216000 reported previous week
11,11,Key reading of the manufacturing sector falls to lowest level in more than 2 years,"Activity in the U.S. manufacturing sector expanded at a much slower pace than expected last month, according to the Institute for Supply Management.",2019-01-03 15:00:00Z,"Key reading of the manufacturing sector falls to lowest level in more than 2 years Activity U.S. expanded at a much slower pace expected last month, according Institute for Supply Management.",key reading manufacturing sector falls lowest level 2 years activity us expanded much slower pace expected last month according institute supply management
12,12,The president of the Dallas Fed says central bank should pause rate hikes amid turmoil in markets,"The Federal Reserve ought to stop raising interest rates until it gets a clearer picture of where the economy is headed, Robert Kaplan, president of the central bank&#039;s Dallas district, said in an interview Thursday.",2019-01-03 16:35:00Z,"The president of the Dallas Fed says central bank should pause rate hikes amid turmoil in markets Federal Reserve ought to stop raising interest rates until it gets a clearer picture where economy is headed, Robert Kaplan, bank&#039;s district, said an interview Thursday.",president dallas fed says central bank pause rate hikes amid turmoil markets federal reserve ought stop raising interest rates gets clearer picture economy headed robert kaplan bank 039 district said interview thursday
13,13,"Cleveland Fed President Loretta Mester says if inflation doesn't rise, Fed could stop hikes",,2019-01-04 13:10:00Z,"Cleveland Fed President Loretta Mester says if inflation doesn't rise, could stop hikes nan",cleveland fed president loretta mester says inflation nt rise could stop hikes nan
14,14,"US created 312,000 jobs in December, vs 176,000 expected",,2019-01-04 13:30:00Z,"US created 312,000 jobs in December, vs 176,000 expected nan",us created 312000 jobs december vs 176000 expected nan
15,15,Manufacturing industry posts biggest annual job gain in 20 years,The net changes by industry for December jobs based on Friday&#039;s jobs report; the health-care and education sector saw the largest gain.,2019-01-04 15:09:00Z,Manufacturing industry posts biggest annual job gain in 20 years The net changes by for December jobs based on Friday&#039;s report; the health-care and education sector saw largest gain.,manufacturing industry posts biggest annual job gain 20 years net changes december jobs based friday 039 report health-care education sector saw largest gain
16,16,US services sector grows at slowest pace since July,"The U.S. services sector expanded at a slower-than-expected pace in December, according to data released Monday.",2019-01-07 15:00:00Z,"US services sector grows at slowest pace since July The U.S. expanded a slower-than-expected in December, according to data released Monday.",us services sector grows slowest pace since july us expanded slower-than-expected december according data released monday
17,17,Former Fed Chair Alan Greenspan thinks the Ocasio-Cortez 70% tax plan is 'a terrible idea',"Raising the marginal tax rate on the richest Americans to 70 percent would be a &quot;terrible idea,&quot; former Fed Chairman Alan Greenspan said.",2019-01-07 16:18:00Z,"Former Fed Chair Alan Greenspan thinks the Ocasio-Cortez 70% tax plan is 'a terrible idea' Raising marginal rate on richest Americans to 70 percent would be a &quot;terrible idea,&quot; former Chairman said.",former fed chair alan greenspan thinks ocasio-cortez 70 tax plan terrible idea raising marginal rate richest americans 70 percent would quot terrible idea quot former chairman said
18,18,More US regions see job openings outnumbering the number of people seeking jobs,Job openings are outnumbering unemployed workers across increasingly wide swaths of the U.S.,2019-01-08 12:06:00Z,More US regions see job openings outnumbering the number of people seeking jobs Job are unemployed workers across increasingly wide swaths U.S.,us regions see job openings outnumbering number people seeking jobs job unemployed workers across increasingly wide swaths us
19,19,"US-China negotiators narrow differences on trade: DJ, citing sources","Trade negotiators from China and the U.S. have narrowed some of their differences, according to a report from Dow Jones.",2019-01-08 14:42:00Z,"US-China negotiators narrow differences on trade: DJ, citing sources Trade from China and the U.S. have narrowed some of their differences, according to a report Dow Jones.",us-china negotiators narrow differences trade dj citing sources trade china us narrowed differences according report dow jones
20,20,"Job openings on the decline but still outpace available workers by more than 800,000","Job openings edged lower in November but there were still 800,000 more vacancies than there were workers to fill them.",2019-01-08 15:31:00Z,"Job openings on the decline but still outpace available workers by more than 800,000 edged lower in November there were vacancies to fill them.",job openings decline still outpace available workers 800000 edged lower november vacancies fill
21,21,Fitch warns of possible cut to US triple-A rating if shutdown continues,"The U.S. is in danger of losing its triple-A sovereign credit rating later this year, Fitch said on Wednesday, warning an ongoing government shutdown could soon start to negatively impact the country&#039;s debt ceiling.",2019-01-09 10:39:00Z,"Fitch warns of possible cut to US triple-A rating if shutdown continues The U.S. is in danger losing its sovereign credit later this year, said on Wednesday, warning an ongoing government could soon start negatively impact the country&#039;s debt ceiling.",fitch warns possible cut us triple-a rating shutdown continues us danger losing sovereign credit later year said wednesday warning ongoing government could soon start negatively impact country 039 debt ceiling
22,22,"Beijing says latest US-China trade talks were extensive, made progress on forced tech transfers",China&#039;s Commerce Ministry said the latest round of trade talks with the U.S. established a foundation for the resolution of each others&#039; concerns.,2019-01-10 00:15:00Z,"Beijing says latest US-China trade talks were extensive, made progress on forced tech transfers China&#039;s Commerce Ministry said the round of with U.S. established a foundation for resolution each others&#039; concerns.",beijing says latest us-china trade talks extensive made progress forced tech transfers china 039 commerce ministry said round us established foundation resolution others 039 concerns
23,23,To investors cheering the Fed's sudden pivot on rate hikes: Be careful what you wish for,"Investors looking for an easier Federal Reserve should be careful what they wish for, as such cycles can portend bad news down the road.",2019-01-10 17:00:00Z,"To investors cheering the Fed's sudden pivot on rate hikes: Be careful what you wish for Investors looking an easier Federal Reserve should be they for, as such cycles can portend bad news down road.",investors cheering fed sudden pivot rate hikes careful wish investors looking easier federal reserve cycles portend bad news road
24,24,Watch Fed Chair Jerome Powell address the Economic Club of New York,,2019-01-10 17:25:00Z,Watch Fed Chair Jerome Powell address the Economic Club of New York nan,watch fed chair jerome powell address economic club new york nan
25,25,Fed Chief Jerome Powell says an extended government shutdown could start to show in economic data,,2019-01-10 18:00:00Z,Fed Chief Jerome Powell says an extended government shutdown could start to show in economic data nan,fed chief jerome powell says extended government shutdown could start show economic data nan
26,26,Here's how lost furloughed federal worker paychecks could weigh on the US economy,Furloughed workers will lose over $2.2 billion in missed paychecks as the government shutdown enters day 21. The unemployment rate could jump a few tenths of a percent in January due to the impact of the shutdown.,2019-01-11 11:00:00Z,Here's how lost furloughed federal worker paychecks could weigh on the US economy Furloughed workers will lose over $2.2 billion in missed as government shutdown enters day 21. The unemployment rate jump a few tenths of percent January due to impact shutdown.,lost furloughed federal worker paychecks could weigh us economy furloughed workers lose 22 billion missed government shutdown enters day 21 unemployment rate jump tenths percent january due impact shutdown
27,27,Trump could take billions from disaster areas to fund border wall,"Under the proposal, Trump could dip into money set aside to fund civil works projects all over the country including storm-damaged areas of Puerto Rico.",2019-01-11 12:38:00Z,"Trump could take billions from disaster areas to fund border wall Under the proposal, dip into money set aside civil works projects all over country including storm-damaged of Puerto Rico.",trump could take billions disaster areas fund border wall proposal dip money set aside civil works projects country including storm-damaged puerto rico
28,28,"US Consumer Price Index fell 0.1% in December, as expected","The U.S. Consumer Price Index was expected to slip 0.1 percent in December, after an unchanged reading in the previous month.",2019-01-11 13:30:00Z,"US Consumer Price Index fell 0.1% in December, as expected The U.S. was to slip 0.1 percent after an unchanged reading the previous month.",us consumer price index fell 01 december expected us slip 01 percent unchanged reading previous month
29,29,"If the shutdown lasts two more weeks, the cost to the economy will exceed price of Trump's wall",It will only take another two weeks to cost the economy more than the $5.7 billion Trump demanded for the border wall.,2019-01-11 16:37:00Z,"If the shutdown lasts two more weeks, cost to economy will exceed price of Trump's wall It only take another weeks than $5.7 billion Trump demanded for border wall.",shutdown lasts two weeks cost economy exceed price trump wall take another weeks 57 billion trump demanded border wall
30,30,OppenheimerFunds CIO: There won't be an economic recession for at least 5 years,"Growing positive sentiment between the U.S. and China recently bodes well for stocks, says OppenheimerFunds&#039; Krishna Memani.",2019-01-14 14:09:00Z,"OppenheimerFunds CIO: There won't be an economic recession for at least 5 years Growing positive sentiment between the U.S. and China recently bodes well stocks, says OppenheimerFunds&#039; Krishna Memani.",oppenheimerfunds cio wo nt economic recession least 5 years growing positive sentiment us china recently bodes well stocks says oppenheimerfunds 039 krishna memani
31,31,"Economic uncertainty has prompted some retailers to put plans on hold, Yellen says","Janet Yellen, the former chair of the Federal Reserve System, made the comments Monday during the National Retail Federation&#039;s annual Big Show in New York.",2019-01-14 14:12:00Z,"Economic uncertainty has prompted some retailers to put plans on hold, Yellen says Janet Yellen, the former chair of Federal Reserve System, made comments Monday during National Retail Federation&#039;s annual Big Show in New York.",economic uncertainty prompted retailers put plans hold yellen says janet yellen former chair federal reserve system made comments monday national retail federation 039 annual big show new york
32,32,Gundlach's warning on 'ocean of debt' adds to worries over corporate bonds,"Jeffrey Gundlach, founder of DoubleLine Capital, said in a warning published over the weekend that the corporate debt load is about to become a bigger problem.",2019-01-14 16:26:00Z,"Gundlach's warning on 'ocean of debt' adds to worries over corporate bonds Jeffrey Gundlach, founder DoubleLine Capital, said in a published the weekend that debt load is about become bigger problem.",gundlach warning ocean debt adds worries corporate bonds jeffrey gundlach founder doubleline capital said published weekend debt load become bigger problem
33,33,Trump administration doubles estimate of shutdown cost to economy: Source,The original estimate that the partial shutdown would subtract 0.1 percentage point from growth every two weeks has now been doubled.,2019-01-15 13:32:00Z,Trump administration doubles estimate of shutdown cost to economy: Source The original that the partial would subtract 0.1 percentage point from growth every two weeks has now been doubled.,trump administration doubles estimate shutdown cost economy source original partial would subtract 01 percentage point growth every two weeks doubled
34,34,Economist Ed Lazear: The stock market is the best economic indicator and it's signaling caution,"&quot;Given the volatility in the market,&quot; Lazear argues, &quot;probably a few weeks worth of patience is not a terrible thing at this point&quot; from the Fed on interest rates.",2019-01-15 16:17:00Z,"Economist Ed Lazear: The stock market is the best economic indicator and it's signaling caution &quot;Given volatility in market,&quot; Lazear argues, &quot;probably a few weeks worth of patience not terrible thing at this point&quot; from Fed on interest rates.",economist ed lazear stock market best economic indicator signaling caution quot given volatility market quot lazear argues quot probably weeks worth patience terrible thing point quot fed interest rates
35,35,US import prices fall for a second straight month,,2019-01-16 13:31:00Z,US import prices fall for a second straight month nan,us import prices fall second straight month nan
36,36,There is real potential for climate change to create a foreclosure crisis,"As extreme weather events become more frequent in places where borrowers might not have flood or fire insurance, the risk of foreclosure rises. Some now predict that the nation could face a climate-related inspired housing crisis.",2019-01-17 12:00:00Z,"There is real potential for climate change to create a foreclosure crisis As extreme weather events become more frequent in places where borrowers might not have flood or fire insurance, the risk of rises. Some now predict that nation could face climate-related inspired housing crisis.",real potential climate change create foreclosure crisis extreme weather events become frequent places borrowers might flood fire insurance risk rises predict nation could face climate-related inspired housing crisis
37,37,Fed's Kashkari says big banks are safer now than before the financial crisis,"Neel Kashkari, president of the Federal Reserve Bank of Minneapolis and a critic of big banks, on Wednesday said the biggest U.S. banks are &quot;unquestionably&quot; safer than they were before the 2007-2009 financial crisis.",2019-01-17 12:13:00Z,"Fed's Kashkari says big banks are safer now than before the financial crisis Neel Kashkari, president of Federal Reserve Bank Minneapolis and a critic banks, on Wednesday said biggest U.S. &quot;unquestionably&quot; they were 2007-2009 crisis.",fed kashkari says big banks safer financial crisis neel kashkari president federal reserve bank minneapolis critic banks wednesday said biggest us quot unquestionably quot 2007-2009 crisis
38,38,Shutdown is starting to hurt Trump's financial deregulation agenda,The U.S. government shutdown over President Donald Trump&#039;s call for Congress to fund a wall he promised to build on the U.S.- Mexican border is threatening another campaign pledge to make rules easier to navigate for banks and corporations.,2019-01-17 13:05:00Z,Shutdown is starting to hurt Trump's financial deregulation agenda The U.S. government shutdown over President Donald Trump&#039;s call for Congress fund a wall he promised build on the U.S.- Mexican border threatening another campaign pledge make rules easier navigate banks and corporations.,shutdown starting hurt trump financial deregulation agenda us government shutdown president donald trump 039 call congress fund wall promised build us- mexican border threatening another campaign pledge make rules easier navigate banks corporations
39,39,"US weekly jobless claims total 213,000, vs 220,000 expected","First-time claims for state unemployment benefits were expected to total 220,000 in the most recent week, up from the 216,000 claims reported for the previous week.",2019-01-17 13:30:00Z,"US weekly jobless claims total 213,000, vs 220,000 expected First-time for state unemployment benefits were to in the most recent week, up from 216,000 reported previous week.",us weekly jobless claims total 213000 vs 220000 expected first-time state unemployment benefits recent week 216000 reported previous week
40,40,US officials debate lifting tariffs on China to get a trade deal: WSJ,"Lifting tariffs could clear the way for deeper concessions from Beijing, sources told WSJ",2019-01-17 19:41:00Z,"US officials debate lifting tariffs on China to get a trade deal: WSJ Lifting could clear the way for deeper concessions from Beijing, sources told",us officials debate lifting tariffs china get trade deal wsj lifting could clear way deeper concessions beijing sources told
41,41,"Consumer sentiment in January at 90.7, vs 96.4 expected","Consumer sentiment dropped to its lowest level since before the U.S. presidential election in 2016 amid growing concerns over U.S. economic growth, according to data released Friday.",2019-01-18 15:00:00Z,"Consumer sentiment in January at 90.7, vs 96.4 expected dropped to its lowest level since before the U.S. presidential election 2016 amid growing concerns over economic growth, according data released Friday.",consumer sentiment january 907 vs 964 expected dropped lowest level since us presidential election 2016 amid growing concerns economic growth according data released friday
42,42,Trump's dismal popularity among foreigners may be costing the US billions in exports,"President Donald Trump&#039;s unpopularity overseas may have cut American exports by at least $3 billion, according to a UC Berkeley study.",2019-01-18 17:38:00Z,"Trump's dismal popularity among foreigners may be costing the US billions in exports President Donald Trump&#039;s unpopularity overseas have cut American by at least $3 billion, according to a UC Berkeley study.",trump dismal popularity among foreigners may costing us billions exports president donald trump 039 unpopularity overseas cut american least 3 billion according uc berkeley study
43,43,IMF Chair Christine Lagarde cuts global growth forecast for 2019 to 3.5 percent,"IMF Chair Christine Lagarde has cut the global growth forecast to 3.5 percent. Speaking at the World Economic Forum in Davos, Switzerland, she said the move was due to the high level of economic risks that are accelerating around the globe.",2019-01-22 13:22:00Z,"IMF Chair Christine Lagarde cuts global growth forecast for 2019 to 3.5 percent has cut the percent. Speaking at World Economic Forum in Davos, Switzerland, she said move was due high level of economic risks that are accelerating around globe.",imf chair christine lagarde cuts global growth forecast 2019 35 percent cut percent speaking world economic forum davos switzerland said move due high level economic risks accelerating around globe
44,44,A US trade deal with China won't be perfect � it doesn't need to be,"U.S. and Chinese negotiators need to accept that certain goals can&#039;t be reached at the moment, but that shouldn&#039;t stop them from reaching a deal to avert an all-out trade war and bring confidence back to global markets, writes Stefan M. Selig.",2019-01-22 14:25:00Z,"A US trade deal with China won't be perfect � it doesn't need to U.S. and Chinese negotiators accept that certain goals can&#039;t reached at the moment, but shouldn&#039;t stop them from reaching a avert an all-out war bring confidence back global markets, writes Stefan M. Selig.",us trade deal china wo nt perfect  nt need us chinese negotiators accept certain goals 039 reached moment 039 stop reaching avert all-out war bring confidence back global markets writes stefan selig
45,45,"US cancels trade planning meeting with China, source says",,2019-01-22 18:21:00Z,"US cancels trade planning meeting with China, source says nan",us cancels trade planning meeting china source says nan
46,46,White House chief economist: We could see 'zero' growth in first quarter because of shutdown,White House economic advisor Kevin Hassett said Wednesday that the United States could post no economic growth in the first quarter.,2019-01-23 15:19:00Z,White House chief economist: We could see 'zero' growth in first quarter because of shutdown economic advisor Kevin Hassett said Wednesday that the United States post no quarter.,white house chief economist could see zero growth first quarter shutdown economic advisor kevin hassett said wednesday united states post quarter
47,47,"Government debt tab hits $66 trillion, 80% of global GDP, Fitch says","&quot;Government debt levels are high, leaving many countries poorly positioned for financial tightening as global interest rates begin to move higher,&quot; Fitch&#039;s James McCormack says.",2019-01-23 16:05:00Z,"Government debt tab hits $66 trillion, 80% of global GDP, Fitch says &quot;Government levels are high, leaving many countries poorly positioned for financial tightening as interest rates begin to move higher,&quot; Fitch&#039;s James McCormack says.",government debt tab hits 66 trillion 80 global gdp fitch says quot government levels high leaving many countries poorly positioned financial tightening interest rates begin move higher quot fitch 039 james mccormack says
48,48,"Recession fears are spreading, but Goldman Sachs says don't worry","While it may be a case of famous last words, the bank&#039;s experts in fact say the U.S. economy is less prone to recession than it has been in the past.",2019-01-23 19:07:00Z,"Recession fears are spreading, but Goldman Sachs says don't worry While it may be a case of famous last words, the bank&#039;s experts in fact say U.S. economy is less prone to recession than has been past.",recession fears spreading goldman sachs says nt worry may case famous last words bank 039 experts fact say us economy less prone recession past
49,49,Commerce Sec Wilbur Ross: The US is still 'miles and miles' from a trade deal with China,Commerce Secretary Wilbur Ross joins CNBC as Beijing and Washington try to resolve their trade disputes under a tariff cease-fire.,2019-01-24 13:33:00Z,Commerce Sec Wilbur Ross: The US is still 'miles and miles' from a trade deal with China Secretary Ross joins CNBC as Beijing Washington try to resolve their disputes under tariff cease-fire.,commerce sec wilbur ross us still miles miles trade deal china secretary ross joins cnbc beijing washington try resolve disputes tariff cease-fire
50,50,Applications for US unemployment aid fall to a 49-year low,"The number of people seeking jobless benefits dropped last week to the lowest level since November 1969, a sign the job market remains strong despite the partial government shutdown, now in its fifth week.",2019-01-24 13:30:00Z,"Applications for US unemployment aid fall to a 49-year low The number of people seeking jobless benefits dropped last week the lowest level since November 1969, sign job market remains strong despite partial government shutdown, now in its fifth week.",applications us unemployment aid fall 49-year low number people seeking jobless benefits dropped last week lowest level since november 1969 sign job market remains strong despite partial government shutdown fifth week
51,51,'The genie is out of the bottle and AI is going to create a skills gap': Workday CEO,"Artificial intelligence is going to create a skills gap in the workforce, and employers need to focus on retraining, warned Workday co-founder and CEO Aneel Bhusri, speaking with CNBC&#039;s Squawk Box at the World Economic Forum in Davos on Thursday.",2019-01-24 13:42:00Z,"'The genie is out of the bottle and AI going to create a skills gap': Workday CEO Artificial intelligence gap in workforce, employers need focus on retraining, warned co-founder Aneel Bhusri, speaking with CNBC&#039;s Squawk Box at World Economic Forum Davos Thursday.",genie bottle ai going create skills gap workday ceo artificial intelligence gap workforce employers need focus retraining warned co-founder aneel bhusri speaking cnbc 039 squawk box world economic forum davos thursday
52,52,The Fed may be moving closer to ending its rally-killing balance sheet reduction,Wall Street has worried that the operation is adding to pressure in markets that has already built during a series of interest rate hikes that began in 2015.,2019-01-25 12:24:00Z,The Fed may be moving closer to ending its rally-killing balance sheet reduction Wall Street has worried that the operation is adding pressure in markets already built during a series of interest rate hikes began 2015.,fed may moving closer ending rally-killing balance sheet reduction wall street worried operation adding pressure markets already built series interest rate hikes began 2015
53,53,Five financial heavyweights weigh in on whether next recession is nearing,"As the markets rally off of the ugly end to 2018, some of the most influential names in global business are exchanging ideas and sharing their concerns at the World Economic Forum.",2019-01-25 15:20:00Z,"Five financial heavyweights weigh in on whether next recession is nearing As the markets rally off of ugly end to 2018, some most influential names global business are exchanging ideas and sharing their concerns at World Economic Forum.",five financial heavyweights weigh whether next recession nearing markets rally ugly end 2018 influential names global business exchanging ideas sharing concerns world economic forum
54,54,"CEOs step up help for government workers, raise pressure on Washington to end impasse","Companies are stepping up their relief efforts for the 800,000 federal workers who have just marked the second missed paycheck as Washington&#039;s shutdown stalemate drags on.",2019-01-25 16:55:00Z,"CEOs step up help for government workers, raise pressure on Washington to end impasse Companies are stepping their relief efforts the 800,000 federal workers who have just marked second missed paycheck as Washington&#039;s shutdown stalemate drags on.",ceos step help government workers raise pressure washington end impasse companies stepping relief efforts 800000 federal workers marked second missed paycheck washington 039 shutdown stalemate drags
55,55,"The shutdown cost the economy $11 billion � including a permanent $3 billion loss, government says","Overall, the CBO projected economic growth will slow this year to 2.3 percent, compared to the 3.1 percent rate last year, as the benefits of the new tax law begin to fade.",2019-01-28 15:00:00Z,"The shutdown cost the economy $11 billion � including a permanent $3 loss, government says Overall, CBO projected economic growth will slow this year to 2.3 percent, compared 3.1 percent rate last year, as benefits of new tax law begin fade.",shutdown cost economy 11 billion  including permanent 3 loss government says overall cbo projected economic growth slow year 23 percent compared 31 percent rate last year benefits new tax law begin fade
56,56,US auto sales are expected to drop in January,"U.S. auto sales in January are expected to fall about 1 percent compared to 2018, partly due to uncertainty around government shutdown causing some customers to delay purchases, according to industry consultants J.D. Power and LMC Automotive.",2019-01-29 14:28:00Z,"US auto sales are expected to drop in January U.S. fall about 1 percent compared 2018, partly due uncertainty around government shutdown causing some customers delay purchases, according industry consultants J.D. Power and LMC Automotive.",us auto sales expected drop january us fall 1 percent compared 2018 partly due uncertainty around government shutdown causing customers delay purchases according industry consultants jd power lmc automotive
57,57,"Consumer confidence hits 120.2 in January, vs estimate of 124.9",U.S. consumer confidence was expected to fall to 124.9 in January from the 128.1 reading for the previous month.,2019-01-29 15:00:00Z,"Consumer confidence hits 120.2 in January, vs estimate of 124.9 U.S. consumer was expected to fall January from the 128.1 reading for previous month.",consumer confidence hits 1202 january vs estimate 1249 us consumer expected fall january 1281 reading previous month
58,58,Bond King Jeffrey Gundlach says we just got 'the most recessionary signal' yet,"While confidence in the broader confidence index remains strong, the Expectations Index tumbled from 97.7 to 87.3 from December.",2019-01-29 20:18:00Z,"Bond King Jeffrey Gundlach says we just got 'the most recessionary signal' yet While confidence in the broader index remains strong, Expectations Index tumbled from 97.7 to 87.3 December.",bond king jeffrey gundlach says got recessionary signal yet confidence broader index remains strong expectations index tumbled 977 873 december
59,59,"US and China face deep trade, IP differences in today's high-level talks",The United States and China launch a critical round of trade talks on Wednesday amid deep differences over Washington&#039;s demands for structural economic reforms from Beijing.,2019-01-30 11:48:00Z,"US and China face deep trade, IP differences in today's high-level talks The United States launch a critical round of trade on Wednesday amid over Washington&#039;s demands for structural economic reforms from Beijing.",us china face deep trade ip differences today high-level talks united states launch critical round trade wednesday amid washington 039 demands structural economic reforms beijing
60,60,"Private companies add 213,000 jobs in January, easily topping expectations: ADP/Moody's Analytics","Private payrolls grew at a much faster pace than expected in January as the labor market shrugged off the longest U.S. government shutdown in history, according to data released Wednesday by ADP and Moody&#039;s Analytics.",2019-01-30 13:15:00Z,"Private companies add 213,000 jobs in January, easily topping expectations: ADP/Moody's Analytics payrolls grew at a much faster pace than expected January as the labor market shrugged off longest U.S. government shutdown history, according to data released Wednesday by ADP and Moody&#039;s Analytics.",private companies add 213000 jobs january easily topping expectations adpmoody analytics payrolls grew much faster pace expected january labor market shrugged longest us government shutdown history according data released wednesday adp moody 039 analytics
61,61,"December pending home sales drop to lowest point in five years, despite much lower interest rates","House hunters signed 2.2 percent fewer contracts to buy existing homes in December, according to the National Association of Realtors. These so-called pending sales are a future indicator of closings in one to two months.",2019-01-30 15:00:00Z,"December pending home sales drop to lowest point in five years, despite much lower interest rates House hunters signed 2.2 percent fewer contracts buy existing homes December, according the National Association of Realtors. These so-called are a future indicator closings one two months.",december pending home sales drop lowest point five years despite much lower interest rates house hunters signed 22 percent fewer contracts buy existing homes december according national association realtors so-called future indicator closings one two months
62,62,Watch the Context Summits' global economics panel,"The panel, which will be moderated by Allianz Chief Economic Advisor Mohammed El-Erian, will discuss emerging trends and debate the key issues impacting the global economy.",2019-01-30 15:12:00Z,"Watch the Context Summits' global economics panel The panel, which will be moderated by Allianz Chief Economic Advisor Mohammed El-Erian, discuss emerging trends and debate key issues impacting economy.",watch context summits global economics panel panel moderated allianz chief economic advisor mohammed el-erian discuss emerging trends debate key issues impacting economy
